,gene,decouple_th1,decouple_Th17,decouple_Th2,decouple_Tcm,decouple_Treg
127,CEACAM21,-0.0006079135285169852,-0.0008359179802764974,-0.00260560454373672,-0.0009794001347061048,-0.003487479401688495
128,INTS6,-6.202116736682764e-05,-0.0008615104762730195,-0.0004588169528261677,-0.0004910166026525229,-0.0005501605377104309
129,NUAK2,,-6.481581196856809e-05,,,-0.0009891072854128612
130,ATG10,-0.0010727361353231584,-0.0011668807590450728,-0.0006366303148639865,-0.0006906032780444439,-0.00218598785714446
131,RAD51D,,,-0.002203096095375681,-0.0015981660120523225,
132,MID2,-0.0026549286089364004,-0.00040428665772596767,,-0.002686903369869825,
133,SRBD1,-0.0016886119176026879,-0.0007231015112662137,0.0007213002088838696,-0.0006273272415794895,
134,ZCWPW2,,3.09201099407113e-05,-0.0009500725899158433,-0.00016859097109697338,-0.0003104253094845088
135,ANTXR2,-0.0004688116112515194,-0.0004978128048851371,-0.0008541774861165743,-0.0004726574895085982,-0.0019250721572736194
136,LRP8,-0.001081490889901924,-0.0016643024594584993,-0.0014117748813505509,-0.0001171764239157021,-0.0013938576557270925
137,ENOPH1,-0.0015075681693823536,-4.038773113516046e-05,-0.0012772581803761878,-0.0003777570601915638,-0.0023880783988383895
138,JARID2,-0.00047007461171192505,-0.0006209724363743481,-0.00010539724222394242,-0.00034850852760587477,-0.0014558716803824041
139,POLM,-0.0015298719726004424,-0.00048547114534013003,-2.480283855225973e-05,-0.0005412051431380686,
140,EIF2AK1,,0.0002874346682497156,,-0.0008559037789717585,0.001726398032003789
141,NCEH1,,,,,
142,ARRDC3-AS1,-0.0011477383426218776,-7.342496157834635e-05,-0.00017466838011297343,-0.00040322948485094646,-0.0014111374555755476
143,ALDH5A1,,,,-0.0009578044284082356,
144,TRAV6,,,,,
145,SFMBT2,-0.002634427276893626,-0.0005183047334341023,-0.0015400835218080007,-0.0010452186045398259,
146,LCMT2,,,-0.0012162419846347503,-0.00034163147687303,
147,ZNF169,-0.0006302679033954612,-0.0015439660328963028,,-0.0013371509565319626,
148,PEX13,,-0.0013387420452073365,-0.0017104970280568295,5.8443944534705694e-05,-0.002781932551220013
149,DDN-AS1,-0.00046822533373493645,,,,
150,ARV1,,0.00025402619874158316,,0.0009823438639364997,
151,USP31,,,-0.0023611451622224684,,
152,PARP11,0.00029951216526843093,-6.108118079158585e-05,-0.001076753155001959,-0.0005070532877701666,
153,NDUFV1,-0.0006573127551163464,-0.0010006114349387337,,-0.0009662269795138508,-0.0006065935122028486
154,CCND3,0.00021523699177361348,8.078725722695211e-05,-0.0002978157998829601,-0.00019596940620160343,-0.005730435038296932
155,PLGRKT,6.325242598741697e-05,-0.000771857249429039,-0.0005669701725189661,-0.0003483393224255338,
156,LINC01006,-0.00294966640055005,-0.0008742383900175671,,-0.0008206712634592364,
157,RAD9A,-0.000495969459512878,0.000489116145669783,-0.002110010084927164,-0.0007865461396999547,
158,MRPS10,-0.000978815316564425,,-0.0006953734930112039,-0.002075856020901533,
159,RGS14,,-0.0005768535992267641,,,
160,SNHG26,,,,,
161,HACD2,0.0003605258387511783,-0.0002774739705786776,-0.0008768211847276757,-0.0009410957294410348,-0.0011902942162249647
162,TIFA,-0.0011877152211979495,-0.0013101823679856862,-0.0005355230686630939,-0.00037976367269029233,0.00015497091013022546
163,RGS16,-0.0017380266409839033,0.0002555589752357267,-0.0014900447148089649,-0.0009100567763664531,
164,LMNA,-0.0006462957202559632,-0.00030496066603466227,-0.0005033585829941206,-0.00045196989139047444,-0.0009533319477055989
165,NEU3,-0.0014513901788266326,-0.0015644986419404133,0.0008965384120584209,-0.0010594329299142835,
166,CYTH3,-0.0009142105565527955,-0.0008587225081976031,-0.002271641792058939,-0.0012806900024571084,-0.005993667922815849
167,ACAD10,-0.00030735032282602423,-0.001324592835646351,-0.0026042740750640836,-0.00012546979142768252,
168,SLAMF6,,,-0.0011159909980409423,-0.0017485897622391382,-0.002937467042868361
169,CMC1,,0.00016485000821975758,,-0.002307545579326489,
170,ABCF2,-7.039382596787068e-05,-0.0009818724470212741,0.00012763306576283294,0.00036607019807188487,-0.001399708715945503
171,RFC2,-0.0003103300743117904,-0.0007878608431882428,,-0.0010296154250321963,0.0005577764473196165
172,PEX7,-0.0018814884878849978,-0.0007318562278995815,-0.0010042122146701714,-0.0006288414601838474,-0.00011916912204018928
173,IFITM2,-0.0011784554532482897,-0.0009289254979695169,-0.001971856027264806,-0.000544219774586934,-0.0021789055832599127
174,MT2A,0.0002043173720564298,-0.001342497326697935,-0.0012668851694323602,-0.0003405307195749512,-0.003975718078373694
175,SLC26A2,-0.0005482490070747043,,-0.0018212737391504153,0.0007076234945097327,
176,RPRD1A,-0.002694751323451916,-0.0008455160003719778,-0.001355083847281736,-0.001979796229746843,0.001315451976850764
177,TTYH2,-0.0015494360082368673,-0.0011610648889176373,,,
178,ZNF75D,0.0002712312646018806,-0.0010522598716841032,-0.0015323579023074525,-0.0010356566700490998,-0.0022983407376052853
179,ARMCX5-GPRASP2,-0.0012207033924942698,0.0029092195355929964,0.0003900126160024317,-0.0010328701487438124,-0.01122381488312922
180,PPFIBP1,,1.83187511452014e-05,,,
181,LINC01278,,-0.0007858062994475778,,,
182,NELL2,-0.0013198576994543007,-0.0003879635671907907,-0.000626719295312746,-0.00102024631175107,-0.011050817268463704
183,CTNNA1,-0.003811519710357465,,-0.006640060662077608,0.0029132070932107595,
184,WARS2-AS1,-0.0010245471666676335,-0.00035454962222998196,-0.0004955559796700265,-0.00016088202979108474,0.00021927038196052281
185,ZNF280C,-0.0014237225491097391,-0.001309150679060062,-0.0008757819763295094,-0.0009946825539729563,
186,KCTD13,,-0.00044743685366398743,-0.0017487020985862411,-0.002618315517528254,
187,RANBP1,,-0.0012532462422466016,-0.001113763280911337,0.00017898725928083403,-0.0006842133374404483
188,METTL25,-0.0008571217071820444,-0.0007662458217422112,-0.0005628068091374219,-0.0007193563232629546,-7.979343048029365e-05
189,WBP4,6.375278915582948e-05,0.0003686565818362027,-0.00018022981639828715,-0.0003951474230354081,-0.0008851605450158565
190,GMCL1,-0.0001279742377174823,-0.00022506134258792887,-0.001599164904837423,-0.0003909278292534568,-0.002209975490065538
191,GXYLT1,-0.0015124928462211095,-0.001087791904081625,,-0.0007368871343771746,-0.004922530038115165
192,IL7,,,,,
193,EXOC4,-0.000641151540011313,-0.0006678864690436931,-0.000969817581652167,-0.0009347063000934869,-0.001635620950426445
194,RTN3,-1.633269565925674e-05,-0.0005890735926492282,0.0001729044173290912,0.00034167782674373454,-0.001804268738132761
195,LCLAT1,-0.0013573110944421684,-0.0018691941127880647,-0.0008511195356797722,-0.0005311537413090414,
196,OSBPL11,-0.0006888939726747102,-0.001223133823151961,-0.0015698722652271848,0.0009614799058718518,-0.0012509809068498665
197,POLR3B,-0.00048038607944830315,-0.000962393800081833,-0.0024918163937218494,-0.000975536771092576,-0.002520303086834574
198,HDX,-0.0029079001738982965,-0.002167073466004586,,,
199,TBC1D32,-0.0013262693292633732,-0.0015951993241803096,-0.0015805599480834594,-0.0009714986514564126,
200,TRAM2,-0.0011286004675928,-0.001322019008156915,,-0.0004819038849404461,0.0012268127742833587
201,CBFB,-0.0006587281367869333,-0.0009950020605793784,-0.001957333337668038,-0.0006562259387763785,0.009429110482549772
202,LINC01033,,0.0001185945101746886,,-4.061922894059086e-05,
203,LONRF1,-0.0017011216120008561,-0.0011984769708875392,-0.002513606270535166,3.333082181278431e-05,-0.00208109588423425
204,PLAGL1,,6.71074694506002e-05,,-0.0008643094934987034,
205,BRCA2,,-0.0003803718067047074,-0.002390112674765436,-0.0022479080040164936,-0.002919615713208503
206,HEIH,-0.0007206501823339949,-0.0004963373173147816,,-0.0016989365622651596,
207,EPSTI1,-0.00048171184446612475,-0.001103719557039133,-0.00013748317838198354,-0.0004427289170664253,-0.005594055010256727
208,MRFAP1L1,-0.0010379480538373394,-0.00047313733283807155,-0.0018906401473179311,-0.00011431046542526892,
209,ZNF277,-0.001321531331479539,-0.0009549165732465103,-0.0005194701876036836,-0.0007556359731731152,-0.0036470460113039154
210,NEK8,-0.00032715730874515944,0.00023559164925409347,-0.0002977143526548265,-0.000859444214697855,-0.0020111620051380683
211,MICOS13,-3.7014252993175165e-05,,,2.2671057803042016e-05,
212,UBE2E3,-0.0003761000439220213,-0.0002923868789870554,-0.002657518870048387,6.437164416321466e-05,
213,ATN1,-0.003062982761283948,-0.0005730718063966314,0.00018328806076697325,-0.0016125436510579221,-0.03580642977401852
214,ZBTB2,-0.0004541277097561986,-0.0010990075973709929,-0.00041868897833012043,-0.00013236867462019207,0.00021582319855888675
215,TRIT1,-0.001292133949124235,,,0.00040957125467229114,
216,TMEM45B,-0.0019020190777645513,-0.0009685590900976836,,-0.0011280927846061316,
217,SLC43A2,,-0.0018022980876367146,,,
218,SLCO3A1,-0.0005580397296659724,-0.0008630470710912011,-0.0006059847814880752,-0.0007913384802929035,-0.0028793514201948317
